"","EUR/USD","EUR/JPY","EUR/NZD","EUR/GBP","EUR/CHF","EUR/AUD","EUR/CAD"
"32",1.086965,123.981725,1.588271,0.84192,1.0957,1.47624,1.490251
"33",1.088705,123.69281,1.590058,0.845345,1.09515,1.47392,1.492184
"34",1.093135,123.889,1.593031,0.84818,1.09424,1.47969,1.498918
"35",1.093135,123.889,1.593031,0.84818,1.09424,1.47969,1.498918
"36",1.095205,124.296185,1.591082,0.84858,1.094055,1.477195,1.496143
"37",1.103315,125.153135,1.602258,0.854755,1.094035,1.48678,1.502422
"38",1.111405,124.60202,1.609717,0.85885,1.091885,1.49823,1.512683
"39",1.113455,123.60131,1.607982,0.857685,1.09018,1.49727,1.516092
"40",1.115085,124.17987,1.615843,0.85856,1.089965,1.499375,1.513661
"41",1.12068,124.693,1.617716,0.85968,1.0902,1.50295,1.5141
"42",1.12068,124.693,1.617716,0.85968,1.0902,1.50295,1.5141
"43",1.121245,124.812045,1.611632,0.8624,1.091195,1.503155,1.515217
"44",1.12298,124.95246,1.600006,0.864895,1.092695,1.49939,1.514804
"45",1.118725,125.126285,1.593773,0.863015,1.09188,1.49762,1.509747
"46",1.122195,125.372665,1.594627,0.865505,1.09131,1.50001,1.506856
"47",1.11965,124.706,1.590186,0.870675,1.0898,1.504145,1.508012
"48",1.11813,124.475,1.582612,0.87298,1.08945,1.50149,1.50355
"49",1.11813,124.475,1.582612,0.87298,1.08945,1.50149,1.50355
"50",1.117475,124.39131,1.582075,0.870885,1.089805,1.501945,1.503306
"51",1.11546,123.769635,1.57844,0.868715,1.089905,1.49816,1.502569
"52",1.120115,124.146885,1.578494,0.87236,1.089465,1.503735,1.509198
"53",1.122925,124.76215,1.587869,0.87226,1.08881,1.517595,1.515657
"54",1.123745,124.92686,1.583554,0.872715,1.08859,1.518215,1.518544
"55",1.128265,124.587,1.580094,0.875215,1.086015,1.51589,1.521392
"56",1.128265,124.587,1.580094,0.875215,1.086005,1.51589,1.521404
"57",1.126195,124.45793,1.578486,0.87361,1.086145,1.50867,1.51846
"58",1.126385,123.593095,1.571474,0.87262,1.085495,1.50347,1.516424
"59",1.125845,123.24902,1.566078,0.871435,1.08514,1.4928,1.515984
"60",1.12389,123.564625,1.559572,0.86793,1.085835,1.489775,1.51814
"61",1.119185,123.452935,1.552924,0.87856,1.08521,1.48576,1.510004
"62",1.11959,123.514,1.552314,0.87852,1.08528,1.48686,1.50773
"63",1.11959,123.514,1.552314,0.87852,1.08528,1.48686,1.50773
"64",1.120855,123.363935,1.556808,0.88202,1.085525,1.487495,1.505527
"65",1.120305,123.26734,1.552024,0.882065,1.085085,1.48482,1.486528
"66",1.122715,123.30889,1.548466,0.879815,1.087385,1.48241,1.484027
"67",1.118315,123.04016,1.548666,0.877385,1.088275,1.472955,1.483036
"68",1.11681,124.018905,1.54472,0.874305,1.08818,1.468715,1.479399
"69",1.119635,124.14,1.54376,0.87613,1.090255,1.46945,1.479334
"70",1.119635,124.14,1.54376,0.87613,1.090255,1.46945,1.479334
"71",1.118465,124.311695,1.540999,0.87599,1.08878,1.469705,1.478868
"72",1.11456,124.364025,1.539256,0.878565,1.08673,1.46742,1.475716
"73",1.114155,124.06036,1.540932,0.88123,1.0855,1.473135,1.480902
"74",1.116205,124.1465,1.538129,0.881035,1.0856,1.478875,1.483598
"75",1.11735,124.339065,1.535486,0.87897,1.084405,1.477695,1.479578
"76",1.119375,124.561,1.53679,0.880085,1.085045,1.47919,1.485439
"77",1.119375,124.561,1.53679,0.880085,1.085045,1.47919,1.485439
"78",1.11925,124.78421,1.536302,0.878805,1.086455,1.4768,1.48295
"79",1.124485,125.880585,1.542165,0.881775,1.08816,1.48075,1.48689
"80",1.135885,127.4206,1.559853,0.883665,1.090515,1.49311,1.489764
"81",1.140995,128.18223,1.562322,0.87974,1.09298,1.488895,1.486043
"82",1.14233,128.05761,1.560017,0.878535,1.093835,1.486215,1.483047
"83",1.14252,128.409,1.557767,0.8771,1.094945,1.485945,1.481066
"84",1.14252,128.409,1.557767,0.8771,1.094945,1.485945,1.481066
"85",1.138925,128.49361,1.558389,0.87754,1.09459,1.48554,1.47919
"86",1.13565,128.563415,1.559166,0.87799,1.095145,1.48942,1.473454
"87",1.134485,128.505425,1.558712,0.877875,1.09521,1.49205,1.469862
"88",1.137065,128.71973,1.563384,0.878335,1.09607,1.497285,1.473238
"89",1.141095,129.73974,1.567696,0.882735,1.098035,1.50283,1.477382
"90",1.14001,129.868,1.565746,0.88479,1.09896,1.49927,1.467962
"91",1.14001,129.868,1.565746,0.88479,1.09896,1.49927,1.467962
"92",1.139851,130.093863,1.567538,0.884704,1.10029,1.499433,1.469484
"93",1.141916,130.363868,1.579838,0.887156,1.10352,1.498748,1.474307
"94",1.144394,129.731821,1.579338,0.889344,1.10301,1.493484,1.470069
"95",1.14127,129.189234,1.561617,0.883004,1.10187,1.478767,1.453983
"96",1.143456,129.157915,1.560036,0.878552,1.104554,1.469166,1.452015
"97",1.1468,129.084414,1.561122,0.8755,1.10495,1.464088,1.4503
"98",1.147076,129.053704,1.560338,0.875262,1.10514,1.465744,1.450744
"99",1.14667,129.099748,1.565221,0.877087,1.104274,1.467822,1.452588
"100",1.154471,129.418682,1.571845,0.884473,1.104105,1.460212,1.458854
"101",1.152848,129.025142,1.566412,0.884731,1.100784,1.452237,1.454422
"102",1.156196,129.512472,1.568898,0.890243,1.103507,1.456035,1.457057
"103",1.16495,129.8858,1.56681,0.897081,1.105038,1.47204,1.464013
"104",1.166547,129.603738,1.564803,0.897638,1.10305,1.473658,1.462726
"105",1.16711,129.675483,1.566518,0.897936,1.103273,1.474961,1.463686
"106",1.165104,129.31674,1.56684,0.894656,1.102424,1.468994,1.459212
"107",1.165612,129.900309,1.569104,0.894243,1.105782,1.468454,1.457932
"108",1.165977,130.287068,1.565339,0.893308,1.112948,1.469914,1.45719
"109",1.170522,130.176179,1.557333,0.892804,1.121888,1.462756,1.46154
"110",1.172088,130.049363,1.564127,0.894566,1.135822,1.469634,1.464762
"111",1.17498,130.047,1.563434,0.894555,1.13824,1.4713,1.461017
"112",1.175286,129.994816,1.564954,0.89443,1.138829,1.471844,1.462474
"113",1.176936,130.015859,1.56928,0.894952,1.13933,1.47463,1.468664
"114",1.181516,130.309092,1.578351,0.89413,1.141326,1.478378,1.477407
"115",1.183946,131.00607,1.593589,0.895384,1.146393,1.486604,1.487548
"116",1.185728,130.884455,1.598373,0.899762,1.149528,1.49373,1.492442
"117",1.182858,130.577734,1.592558,0.903225,1.147788,1.48874,1.491124
"118",1.1774,130.306484,1.586942,0.90315,1.145405,1.4847,1.489588
"119",1.17804,130.489278,1.59013,0.902998,1.145964,1.48567,1.489626
"120",1.179364,130.631464,1.599672,0.904408,1.147215,1.489181,1.49406
"121",1.178617,130.235352,1.604424,0.905614,1.147456,1.488317,1.49318
"122",1.174322,129.08532,1.60292,0.903542,1.13422,1.490018,1.490666
"123",1.174539,128.797479,1.612286,0.90442,1.132899,1.490092,1.49395
"124",1.179018,128.601345,1.616463,0.907649,1.133798,1.497686,1.498567
"125",1.182224,129.066897,1.615886,0.908672,1.138154,1.497542,1.498344
"126",1.18228,129.045157,1.616108,0.90892,1.137772,1.497613,1.498854
"127",1.179933,129.304243,1.616635,0.908722,1.142488,1.49836,1.498631
"128",1.174796,129.7345,1.616581,0.910484,1.143021,1.499134,1.497194
"129",1.173485,129.787817,1.615834,0.911658,1.140131,1.490674,1.491586
"130",1.174179,128.97176,1.607336,0.911368,1.132526,1.482357,1.483984
"131",1.17449,128.25181,1.606358,0.911942,1.130916,1.483749,1.482536
"132",1.176064,128.433504,1.607662,0.913554,1.134798,1.483568,1.480018
"133",1.175644,128.529827,1.608244,0.913348,1.13491,1.482936,1.479204
"134",1.177854,128.412232,1.609057,0.914007,1.135784,1.485058,1.481973
"135",1.177596,128.807736,1.61364,0.916552,1.137442,1.486781,1.479232
"136",1.17879,128.793413,1.631134,0.920496,1.139845,1.492677,1.481844
"137",1.18006,129.011417,1.635968,0.92183,1.13894,1.494252,1.479212
"138",1.184048,129.644968,1.638909,0.92211,1.138426,1.495454,1.480092
"139",1.192476,130.395268,1.647406,0.925466,1.1387,1.503071,1.488208
"140",1.19487,130.554354,1.648908,0.925552,1.141326,1.505058,1.490452
"141",1.194667,130.380732,1.649034,0.925348,1.140655,1.503512,1.491389
"142",1.200138,130.776638,1.653548,0.927464,1.140734,1.509292,1.50035
"143",1.193194,131.342845,1.650208,0.92338,1.143752,1.502881,1.499383
"144",1.188301,131.104832,1.658214,0.92082,1.144118,1.501526,1.494852
"145",1.188792,130.940556,1.65893,0.918369,1.143228,1.494597,1.477704
"146",1.186192,130.757702,1.657875,0.915845,1.142216,1.488398,1.470462
"147",1.188043,130.388396,1.658754,0.916728,1.141072,1.492439,1.472357
"148",1.189751,130.47485,1.65938,0.919112,1.140664,1.495901,1.476014
"149",1.1904,129.9029,1.651576,0.917438,1.138966,1.491044,1.474386
"150",1.192426,129.873386,1.652304,0.914242,1.139228,1.492176,1.4691
"151",1.197656,130.265602,1.660259,0.916133,1.141668,1.493445,1.45858
"152",1.204623,129.917845,1.653712,0.914734,1.139646,1.491107,1.459724
"153",1.203692,129.790244,1.657462,0.911725,1.136692,1.494158,1.463706
"154",1.201952,130.145658,1.657054,0.911171,1.13839,1.492536,1.460423
"155",1.198994,130.455708,1.652374,0.909499,1.141202,1.49142,1.454298
"156",1.195826,131.292912,1.643066,0.903077,1.146108,1.490482,1.451795
"157",1.19418,131.680159,1.643416,0.900742,1.148332,1.490618,1.453501
"158",1.189264,131.392838,1.645399,0.894239,1.147534,1.487889,1.44897
"159",1.193777,132.196616,1.642785,0.883262,1.147288,1.491518,1.45361
"160",1.1945,132.433844,1.636263,0.8789,1.14683,1.492762,1.456968
"161",1.193963,132.627974,1.63779,0.879177,1.1467,1.492607,1.455665
"162",1.194682,133.052954,1.639654,0.882188,1.147808,1.495089,1.46018
"163",1.19831,133.688606,1.641819,0.886697,1.15287,1.498949,1.47229
"164",1.197528,133.69819,1.62844,0.885258,1.153744,1.489859,1.470984
"165",1.191141,133.954628,1.62802,0.880744,1.157334,1.497539,1.469812
"166",1.196056,133.963893,1.63479,0.882748,1.158975,1.504004,1.472692
"167",1.195,133.8094,1.628177,0.884825,1.15835,1.50121,1.473919
"168",1.191761,133.807364,1.630464,0.882839,1.156919,1.498015,1.47093
"169",1.188502,133.13928,1.63443,0.880171,1.152865,1.494716,1.466898
"170",1.181212,132.212418,1.636636,0.877689,1.144764,1.493908,1.461309
"171",1.175629,132.50432,1.631514,0.876805,1.143467,1.495729,1.458182
"172",1.176666,132.57977,1.631784,0.877383,1.144047,1.50192,1.466884
"173",1.180206,132.820004,1.634885,0.880738,1.14457,1.505416,1.470038
"174",1.18145,132.617436,1.638742,0.88194,1.14408,1.497027,1.473504
"175",1.181361,132.648304,1.63838,0.881931,1.144026,1.497726,1.473456
"176",1.175238,132.525537,1.633214,0.882916,1.142404,1.502204,1.469498
"177",1.173735,132.578977,1.637906,0.885845,1.144526,1.501118,1.468304
"178",1.176416,132.5286,1.640252,0.88703,1.145312,1.497126,1.467478
"179",1.173613,132.286925,1.643825,0.890995,1.146544,1.501966,1.468936
"180",1.171286,132.214046,1.651482,0.896042,1.146882,1.507702,1.471416
